Desplazamiento,Amplitud (mVpp),,
20,110,,
30,185,,
40,175,,
50,100,,Distancia entre torretas: 5 cm 
60,40,,
70,140,,
80,195,,
90,200,,
100,130,,
110,80,,
120,110,,
130,165,,
140,205,,
150,155,,
160,55,,
170,60,,
180,100,,
190,160,,
200,130,,
210,40,,
220,110,,
230,200,,
240,220,,
250,150,,
260,45,,
270,40,,
280,140,,
290,170,,
300,155,,
310,105,,
320,70,,
330,100,,
340,190,,
350,215,,
360,180,,
370,115,,
380,60,,
390,90,,
400,105,,
410,110,,
420,150,,
430,135,,
440,100,,
450,45,,
460,65,,
470,75,,
480,90,,
490,110,,
500,130,,
510,125,,
520,75,,
530,35,,
540,30,,
550,30,,
560,20,,
570,40,,
580,60,,
590,60,,
600,55,,